tiempo,carga,extension_de_traccion,esfuerzo_de_traccion,deformacion,deformacion_media,desplazamiento_deformacion_uno,desplazamiento_deformacion_dos
31.9,546.58256,2.65797,13.66456,0,0,0.44217,0
32,547.77605,2.66641,13.6944,0,0,0.44347,0
32.1,549.31669,2.67469,13.73292,0,0,0.44479,0
32.2,550.92787,2.68391,13.7732,0,0,0.44618,0
32.3,552.10567,2.69141,13.80264,0,0,0.44728,0
32.4,553.59146,2.70031,13.83979,0,0,0.4487,0
32.5,554.86099,2.70812,13.87152,0,0,0.44996,0
32.6,556.58501,2.71641,13.91463,0,0,0.4513,0
32.7,557.91251,2725,13.94781,0,0,0.45237,0
32.8,559.15695,2.73297,13.97892,0,0,0.45382,0
32.9,560.76813,2.74234,14.0192,0,0,0.45529,0
33,562.03371,2.74984,14.05084,0,0,0.45645,0
33.1,563.54771,2.75875,14.08869,0,0,0.45767,0
33.2,564.81333,2.76656,14.12033,0,0,0.45909,0
33.3,566.54438,2.77516,14.16361,0,0,0.46037,0
33.4,567.82723,2.78328,14.19568,0,0,0.46151,0
33.5,569.2088,2.79172,14.23022,0,0,463,0
33.6,570.56216,2.8,14.26405,0,0,0.46394,0
33.7,572.13414,2.80781,14.30335,0,0,0.46532,0
33.8,573.55962,2.81719,14.33899,0,0,0.46691,0
33.9,574.71078,2.82453,14.36777,0,0,0.46807,0
34,576.19186,2.83375,14.4048,0,0,0.46935,0
34.1,577.71686,2.84156,14.44292,0,0,0.47076,0
34.2,579.14229,2.85016,14.47856,0,0,0.47179,0
34.3,580.44554,2.85828,14.51114,0,0,0.47323,0
34.4,581.83414,2.86609,14.54585,0,0,0.47447,0
34.5,583.13971,2.87516,14.57849,0,0,0.47561,0
34.6,584.59961,2.88312,14.61499,0,0,0.47684,0
34.7,586.10188,2.89219,14.65255,0,0,0.47812,0
34.8,586.99916,2.89984,14.67498,0,0,0.47931,0
34.9,588.86814,2.90891,14.7217,0,0,0.4808,0
35,589.8736,2.91656,14.74684,0,0,0.48191,0
35.1,591.54117,2.92484,14.78853,0,0,0.48339,0
35.2,592.71585,2.93328,14.8179,0,0,0.48453,0
35.3,594.30823,2.94141,14.85771,0,0,0.48585,0
35.4,595.5182,2.95047,14.88795,0,0,0.48701,0
35.5,596.8418,2.95766,14.92105,0,0,0.48817,0
35.6,598.23119,2.96719,14.95578,0,0,0.48963,0
35.7,599.57593,2.97484,14.9894,0,0,0.49097,0
35.8,600.97082,2.98328,15.02427,0,0,0.49237,0
35.9,602.28813,2.99156,15.0572,0,0,0.49332,0
36,603.57642,2.99984,15.08941,0,0,0.49465,0
36.1,604.95567,3.00875,15.12389,0,0,0.49581,0
36.2,606.3208,3.01594,15.15802,0,0,497,0
36.3,607.57226,3.02531,15.18931,0,0,0.49832,0
36.4,608.75635,3.03312,15.21891,0,0,0.4996,0
36.5,610.53759,3.04203,15.26344,0,0,0.50106,0
36.6,611.48033,3.05,15.28701,0,0,0.50196,0
36.7,612.97002,3.05875,15.32425,0,0,0.50342,0
36.8,614.26698,3.06687,15.35667,0,0,0.50432,0
36.9,615.53805,3.07437,15.38845,0,0,0.50575,0
37,616.93527,3.08359,15.42338,0,0,0.50704,0
37.1,618.23302,3.09141,15.45583,0,0,0.50821,0
37.2,619.46018,3.10062,15.4865,0,0,0.50948,0
37.3,620.69446,3.10812,15.51736,0,0,0.51044,0
37.4,622.11831,3.11687,15.55296,0,0,0.51176,0
37.5,623.38626,3125,15.58466,0,0,513,0
37.6,624.64322,3.13297,15.61608,0,0,0.51437,0
37.7,625.75131,3.14156,15.64378,0,0,0.51548,0
37.8,627.08589,3.14969,15.67715,0,0,0.51675,0
37.9,628.55128,3.15859,15.71378,0,0,0.51789,0
38,629.70011,3.16625,15.7425,0,0,0.51909,0
38.1,631.02292,3.17516,15.77557,0,0,0.52017,0
38.2,632.26344,3.18312,15.80659,0,0,0.52152,0
38.3,633.6364,3.19172,15.84091,0,0,0.52289,0
38.4,634.78523,3.19984,15.86963,0,0,0.52389,0
38.5,636.21146,3.20844,15.90529,0,0,0.52503,0
38.6,637.71526,3.21719,15.94288,0,0,0.52623,0
38.7,638.53576,3.22453,15.96339,0,0,0.52738,0
38.8,639.80524,3.23359,15.99513,0,0,0.52844,0
38.9,641.15156,3.24156,16.02879,0,0,0.52979,0
39,642.50259,3.25031,16.06256,0,0,0.53115,0
39.1,643.65687,3.25828,16.09142,0,0,0.53206,0
39.2,644.93893,3.26672,16.12347,0,0,0.53345,0
39.3,646.1136,3275,16.15284,0,0,0.5344,0
39.4,647.39408,3.28297,16.18485,0,0,0.53569,0
39.5,648.53746,3.29141,16.21344,0,0,0.53687,0
39.6,649.68551,3.29969,16.24214,0,0,0.5381,0
39.7,650.9895,3.30891,16.27474,0,0,0.53929,0
39.8,651.94708,3.31641,16.29868,0,0,0.5404,0
39.9,653.59981,3.32516,16.33999,0,0,0.54186,0
40,654.70161,3.33312,16.36754,0,0,0.54281,0
40.1,656.08867,3.34141,16.40222,0,0,0.54408,0
40.2,657.26414,3.35,16.4316,0,0,0.54524,0
40.3,658.51798,3.35797,16.46295,0,0,0.54646,0
40.4,659.57201,3.36719,16.4893,0,0,0.54746,0
40.5,660.81407,3.37484,16.52035,0,0,0.54874,0
40.6,662.13529,3.38375,16.55338,0,0,0.54989,0
40.7,663.24966,3.39156,16.58124,0,0,0.55098,0
40.8,664.62727,3.40016,16.61568,0,0,0.55218,0
40.9,665.27301,3.40828,16.63182,0,0,0.55307,0
41,666.9085,3.41656,16.67271,0,0,0.55459,0
41.1,667.89901,3425,16.69748,0,0,0.55547,0
41.2,669.13799,3.43281,16.72845,0,0,0.5565,0
41.3,670.32361,3.44219,16.75809,0,0,0.55795,0
41.4,671.66835,3.44969,16.79171,0,0,0.55885,0
41.5,672.96373,3.45875,16.82409,0,0,0.5601,0
41.6,673.74031,3.46656,16.84351,0,0,0.56137,0
